order_item_id,order_id,product_id,quantity,unit_price
1,1,51,1,16948.17
2,1,114,3,7070.14
3,1,128,2,15313.37
4,1,629,3,31405.2
5,2,714,2,15844.28
6,3,81,3,10883.09
7,3,433,3,11460.95
8,4,322,2,22673.11
9,4,255,3,29013.74
10,5,267,2,25655.92
11,5,336,1,15368.6
12,5,382,2,10290.52
13,6,672,1,2233.71
14,6,667,1,29894.3
15,6,587,1,26649.84
16,7,301,2,13128.12
17,8,421,1,40927.19
18,8,52,2,4777.14
19,9,323,1,7334.37
20,9,434,2,15882.06
21,10,316,1,29193.15
22,10,787,1,14551.88
23,11,249,1,22384.04
24,12,649,1,14624.71
25,13,407,3,17228.5
26,14,10,3,40969.2
27,15,156,1,38930.76
28,16,673,1,35031.99
29,16,486,1,27987.76
30,16,319,2,2218.86
31,16,411,1,18826.42
32,17,288,3,18625.57
33,18,258,3,10019.57
34,18,547,2,26289.91
35,18,530,1,8320.22
36,19,603,2,5755.3
37,19,529,2,30374.15
38,20,178,2,25526.06
39,21,280,2,21343.08
40,22,654,2,14509.17
41,23,209,2,9218.33
42,24,441,1,22870.84
43,25,359,1,34049.28
44,25,651,1,12751.05
45,25,173,2,21349.85
46,26,571,2,19345.91
47,26,712,1,28493.58
48,26,770,1,20161.66
49,26,239,1,616.66
50,27,261,3,20886.66
51,27,313,1,18760.35
52,28,202,1,10544.48
53,29,459,2,11587.61
54,29,293,3,27604.08
55,29,789,3,15910.88
56,29,551,2,6888.11
57,30,783,1,18690.31
58,30,212,3,33384.82
59,31,197,2,40261.14
60,32,487,1,23104.78
61,33,622,2,36868.89
62,34,651,2,12751.05
63,34,200,1,6165.14
64,34,34,1,8807.6
65,34,396,3,2406.06
66,35,235,1,18133.37
67,35,339,1,8956.93
68,35,236,1,26401.32
69,36,452,2,23722.46
70,36,486,1,27987.76
71,37,286,1,9714.82
72,38,55,1,22360.33
73,38,545,2,16329.18
74,39,223,2,13033.96
75,39,462,1,25933.96
76,39,722,1,33361.16
77,40,127,2,8014.69
78,40,151,2,34735.37
79,40,550,2,1083.09
80,41,582,2,8494.9
81,41,594,2,22780.24
82,41,436,2,8990.1
83,42,493,3,9255.9
84,42,593,1,13702.49
85,43,698,1,16403.33
86,43,141,2,7000.82
87,44,613,3,29100.91
88,44,554,1,5332.32
89,44,766,1,6713.42
90,44,391,1,23997.9
91,45,167,1,4743.63
92,45,534,1,20249.62
93,46,676,2,25284.62
94,46,563,1,16681.99
95,46,512,2,8539.58
96,46,31,1,17024.91
97,47,571,1,19345.91
98,47,218,1,4915.59
99,47,172,1,20758.59
100,48,3,1,9768.29
101,49,389,1,13037.18
102,49,118,1,16239.52
103,50,125,2,23723.16
104,50,12,1,37517.92
105,51,296,1,15885.84
106,52,250,2,28298.98
107,52,657,1,12313.87
108,52,88,2,2248.91
109,52,604,1,26524.36
110,53,317,2,24066.32
111,53,419,1,15537.81
112,54,792,2,4093.17
113,54,18,1,22764.43
114,54,469,1,18710.6
115,54,770,1,20161.66
116,55,340,1,21633.36
117,56,433,1,11460.95
118,56,276,1,7206.61
119,57,726,1,15023.59
120,58,555,1,13725.91
121,58,332,2,13478.01
122,59,481,2,5874.87
123,59,43,1,35889.34
124,59,536,1,29842.76
125,60,208,1,10922.17
126,60,302,2,16858.64
127,60,568,2,24035.34
128,61,622,1,36868.89
129,61,471,2,9172.38
130,62,533,1,2696.93
131,62,651,2,12751.05
132,62,580,2,25861.54
133,63,380,2,13739.64
134,64,584,2,3914.12
135,65,90,1,16575.17
136,66,535,2,11776.0
137,66,592,1,23359.23
138,66,573,1,10671.48
139,66,192,1,7776.96
140,67,473,1,16918.47
141,68,499,1,35030.53
142,68,468,3,14304.34
143,69,617,1,24106.69
144,69,190,1,30430.81
145,70,624,3,100.77
146,71,182,1,27141.04
147,71,167,2,4743.63
148,72,725,1,34676.15
149,73,355,1,32623.8
150,73,698,2,16403.33
151,73,301,1,13128.12
152,74,145,2,25822.37
153,74,130,1,24864.8
154,74,376,3,25403.15
155,75,409,2,41592.91
156,75,225,1,31354.8
157,75,722,1,33361.16
158,75,351,2,9602.47
159,76,182,1,27141.04
160,76,516,2,18861.42
161,77,92,2,30679.42
162,78,269,1,21278.84
163,78,735,1,3569.31
164,78,464,2,19284.52
165,78,247,1,23910.11
166,79,68,1,27753.73
167,79,61,2,21778.2
168,80,381,1,24625.2
169,80,2,2,15424.76
170,80,626,1,17005.55
171,81,766,1,6713.42
172,82,140,1,4206.69
173,82,205,2,21474.77
174,82,45,1,13684.16
175,83,5,2,12540.07
176,84,336,3,15368.6
177,84,716,1,9908.73
178,84,301,2,13128.12
179,84,233,2,1801.77
180,85,353,2,27584.05
181,85,135,1,16066.45
182,86,91,1,34304.53
183,86,640,2,8893.44
184,86,739,1,3761.73
185,86,528,1,18964.81
186,87,793,1,26149.94
187,87,73,1,21709.46
188,87,37,1,22593.41
189,87,265,1,17961.22
190,88,188,1,3263.5
191,88,71,3,15880.88
192,88,480,1,7250.29
193,88,304,2,19881.9
194,89,431,2,5472.09
195,90,40,2,7157.62
196,90,764,2,435.48
197,91,307,2,25667.12
198,91,555,1,13725.91
199,92,392,3,26371.17
200,93,339,1,8956.93
201,94,52,2,4777.14
202,94,403,1,29231.93
203,94,369,1,18692.49
204,94,460,1,12148.42
205,95,188,2,3263.5
206,95,747,1,17012.67
207,95,10,2,40969.2
208,96,645,1,20227.72
209,96,717,3,4235.09
210,97,86,1,33672.38
211,98,704,1,24778.93
212,98,20,1,6199.33
213,98,146,3,32336.12
214,99,182,2,27141.04
215,99,173,3,21349.85
216,99,650,2,19681.44
217,99,25,1,17950.17
218,100,699,1,116.86
219,101,322,1,22673.11
220,101,580,1,25861.54
221,102,52,1,4777.14
222,102,81,1,10883.09
223,102,328,3,30930.82
224,102,114,1,7070.14
225,103,633,1,21144.5
226,103,348,1,22270.11
227,103,33,2,29509.56
228,103,449,1,1803.37
229,104,564,3,31747.15
230,104,51,3,16948.17
231,104,363,2,35098.89
232,105,50,1,29364.67
233,106,13,1,2424.94
234,106,209,1,9218.33
235,106,707,1,12013.51
236,106,593,1,13702.49
237,107,519,2,3906.81
238,108,642,1,34837.83
239,108,629,1,31405.2
240,109,355,1,32623.8
241,109,779,1,28813.2
242,110,398,1,10295.61
243,110,73,1,21709.46
244,111,408,2,23451.49
245,112,397,2,14373.01
246,112,735,1,3569.31
247,112,450,1,12386.24
248,113,129,1,16424.8
249,113,734,2,33410.84
250,113,224,1,17081.82
251,113,679,1,9909.29
252,114,403,2,29231.93
253,115,9,1,1499.24
254,115,224,3,17081.82
255,116,389,1,13037.18
256,117,109,2,16942.36
257,117,471,1,9172.38
258,118,678,2,3196.18
259,119,98,1,24110.02
260,119,72,3,16303.11
261,120,694,1,300.21
262,120,48,1,31801.34
263,121,249,1,22384.04
264,121,15,1,17444.89
265,122,140,2,4206.69
266,123,773,2,2023.89
267,123,577,2,25126.21
268,124,608,3,33476.02
269,125,48,1,31801.34
270,125,237,2,11355.27
271,126,363,1,35098.89
272,126,534,1,20249.62
273,127,611,1,7040.06
274,127,130,1,24864.8
275,127,2,1,15424.76
276,127,456,1,28622.11
277,128,442,3,40865.1
278,129,538,2,15315.82
279,129,128,2,15313.37
280,130,445,1,39881.7
281,131,381,2,24625.2
282,131,341,1,7292.38
283,131,564,3,31747.15
284,132,172,3,20758.59
285,132,721,1,14312.15
286,133,769,1,40664.39
287,134,385,2,7851.97
288,134,624,2,100.77
289,134,159,2,10189.95
290,135,55,1,22360.33
291,135,674,2,22527.1
292,136,56,1,35478.79
293,137,641,1,13148.39
294,138,285,1,7814.13
295,139,768,2,24572.96
296,140,617,3,24106.69
297,140,728,1,17767.34
298,140,201,3,27195.48
299,141,213,3,8836.23
300,141,52,1,4777.14
301,141,284,1,1556.77
302,141,732,1,7766.13
303,142,713,1,18546.36
304,143,516,1,18861.42
305,144,406,1,24371.41
306,144,202,3,10544.48
307,145,468,1,14304.34
308,145,471,2,9172.38
309,146,701,1,29401.8
310,147,703,1,18991.19
311,147,761,2,13384.18
312,147,76,2,33255.54
313,147,481,1,5874.87
314,148,270,1,30664.01
315,149,402,1,20628.65
316,149,167,2,4743.63
317,150,15,1,17444.89
318,150,514,1,23045.34
319,151,403,1,29231.93
320,151,472,2,29290.58
321,152,525,1,23420.29
322,152,404,1,25620.37
323,152,371,1,22480.24
324,153,38,1,1712.86
325,153,452,3,23722.46
326,153,442,1,40865.1
327,153,401,2,33754.19
328,154,310,3,28361.35
329,155,133,1,20543.59
330,156,91,1,34304.53
331,157,682,3,11482.83
332,157,141,1,7000.82
333,158,104,3,32034.98
334,159,505,1,16999.23
335,159,609,3,24056.63
336,159,704,2,24778.93
337,159,633,2,21144.5
338,160,87,3,34065.41
339,160,674,2,22527.1
340,160,616,1,27275.52
341,160,585,1,24610.76
342,161,138,3,35806.75
343,162,59,1,14650.92
344,162,374,1,15888.61
345,162,545,1,16329.18
346,162,242,1,34635.54
347,163,375,2,18846.73
348,163,685,1,1493.81
349,163,542,1,3540.63
350,163,512,3,8539.58
351,164,400,1,19865.0
352,164,707,2,12013.51
