product_id,product_name,category,brand,cost_price,selling_price,price_flag_below_cost
1,Scholastic Velit Boo1,Books,Scholastic,4247.5,5409.01,False
2,Sony Quos Ele2,Electronics,Sony,11544.77,15424.76,False
3,OnePlus Sint Ele3,Electronics,OnePlus,6224.2,9768.29,False
4,Lakme Repellat Bea4,Beauty,Lakme,16291.75,27466.85,False
5,Amul Quia Gro5,Groceries,Amul,10471.83,12540.07,False
6,ITC Ducimus Gro6,Groceries,ITC,6877.98,12290.97,False
7,HarperCollins Sunt Boo7,Books,HarperCollins,14926.65,24051.75,False
8,Penguin Praesentium Boo8,Books,Penguin,233.58,347.29,False
9,Sony Quia Ele9,Electronics,Sony,986.34,1499.24,False
10,Levis A Fas10,Fashion,Levis,23023.23,40969.2,False
11,Prestige Distinctio Hom11,Home & Kitchen,Prestige,13536.79,19599.01,False
12,LOreal Adipisci Bea12,Beauty,LOreal,23628.18,37517.92,False
13,Mamaearth Itaque Bea13,Beauty,Mamaearth,1669.24,2424.94,False
14,Lakme Voluptas Bea14,Beauty,Lakme,6044.11,8796.43,False
15,OnePlus Quod Ele15,Electronics,OnePlus,11413.87,17444.89,False
16,Allen Solly Nihil Fas16,Fashion,Allen Solly,8951.42,11249.93,False
17,ITC Reiciendis Gro17,Groceries,ITC,12617.8,21319.44,False
18,Penguin Laboriosam Boo18,Books,Penguin,16617.11,22764.43,False
19,Adidas A Spo19,Sports,Adidas,23391.3,40769.51,False
20,Prestige Perspiciatis Hom20,Home & Kitchen,Prestige,5273.24,6199.33,False
21,Nike Earum Spo21,Sports,Nike,18545.65,31304.07,False
22,HarperCollins Ea Boo22,Books,HarperCollins,24198.22,41824.05,False
23,Scholastic Corrupti Boo23,Books,Scholastic,15033.34,22467.84,False
24,ITC Inventore Gro24,Groceries,ITC,744.63,975.71,False
25,Nivea Nisi Bea25,Beauty,Nivea,11517.39,17950.17,False
26,Puma Explicabo Fas26,Fashion,Puma,13953.43,22781.95,False
27,Scholastic Voluptatem Boo27,Books,Scholastic,7030.18,10666.32,False
28,Sony Fugit Ele28,Electronics,Sony,2249.15,3191.28,False
29,OnePlus Repudiandae Ele29,Electronics,OnePlus,18766.51,30039.75,False
30,Decathlon Eligendi Spo30,Sports,Decathlon,24766.54,32955.08,False
31,Samsung Sunt Ele31,Electronics,Samsung,12479.82,17024.91,False
32,H&M Natus Fas32,Fashion,H&M,11043.05,18850.68,False
33,Lakme Velit Bea33,Beauty,Lakme,17121.02,29509.56,False
34,Samsung Sed Ele34,Electronics,Samsung,5127.6,8807.6,False
35,Milton Recusandae Hom35,Home & Kitchen,Milton,1541.07,2662.34,False
36,Penguin Recusandae Boo36,Books,Penguin,8260.39,11188.55,False
37,Levis Magnam Fas37,Fashion,Levis,12826.61,22593.41,False
38,Nivea Consequatur Bea38,Beauty,Nivea,1242.15,1712.86,False
39,Nivea Modi Bea39,Beauty,Nivea,21421.47,30149.34,False
40,Nivea Optio Bea40,Beauty,Nivea,5018.96,7157.62,False
41,H&M Soluta Fas41,Fashion,H&M,9669.53,16873.53,False
42,Penguin Eius Boo42,Books,Penguin,19060.26,28177.26,False
43,Dell Exercitationem Ele43,Electronics,Dell,24709.85,35889.34,False
44,Zara Itaque Fas44,Fashion,Zara,1503.03,1984.72,False
45,Nivea Aperiam Bea45,Beauty,Nivea,10929.96,13684.16,False
46,Allen Solly Labore Fas46,Fashion,Allen Solly,23691.75,39054.71,False
47,Puma Magnam Fas47,Fashion,Puma,6743.77,10345.1,False
48,HarperCollins Optio Boo48,Books,HarperCollins,18050.16,31801.34,False
49,Allen Solly Excepturi Fas49,Fashion,Allen Solly,22046.8,32736.74,False
50,Mamaearth Quibusdam Bea50,Beauty,Mamaearth,19377.58,29364.67,False
51,Nivea Iusto Bea51,Beauty,Nivea,13839.96,16948.17,False
52,H&M Possimus Fas52,Fashion,H&M,3197.13,4777.14,False
53,Nivea Eum Bea53,Beauty,Nivea,6758.1,7864.23,False
54,Scholastic Non Boo54,Books,Scholastic,18084.84,21179.45,False
55,Milton Ratione Hom55,Home & Kitchen,Milton,14902.16,22360.33,False
56,Prestige Ad Hom56,Home & Kitchen,Prestige,24221.93,35478.79,False
57,Penguin Voluptas Boo57,Books,Penguin,1636.86,2469.36,False
58,Nestle Autem Gro58,Groceries,Nestle,21035.35,37820.55,False
