customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_total,segment
1,57,1,24218.86,5,1,1,7,New Customers
2,457,3,70797.47200000001,2,3,2,7,At Risk
4,408,2,75122.4705,3,2,2,7,Needs Attention
6,460,1,68874.202,2,1,2,5,Lost Customers
7,88,3,161669.252,5,3,3,11,Potential Loyalists
11,101,3,78504.281,4,3,2,9,Potential Loyalists
12,168,6,180577.7905,4,5,4,13,Champions
13,21,4,183295.39,5,4,4,13,Champions
14,1107,1,2322.028,1,1,1,3,Lost Customers
15,653,6,284627.097,2,5,4,11,Loyal Customers
17,1206,1,124504.91,1,1,3,5,Lost Customers
19,22,8,382691.50800000003,5,5,5,15,Champions
20,134,2,92602.47,4,2,2,8,New Customers
21,108,1,44952.109500000006,4,1,1,6,New Customers
22,908,1,43943.1715,1,1,1,3,Lost Customers
25,196,8,303056.339,4,5,4,13,Champions
26,383,2,69292.79100000001,3,2,2,7,Needs Attention
27,374,1,103558.1,3,1,3,7,Needs Attention
29,365,4,206340.448,3,4,4,11,Loyal Customers
33,1153,1,138284.32,1,1,3,5,Lost Customers
34,1128,1,15596.701000000001,1,1,1,3,Lost Customers
35,133,16,662221.973,4,5,5,14,Champions
36,256,1,16801.72,3,1,1,5,Needs Attention
37,1171,1,133251.16,1,1,3,5,Lost Customers
38,109,8,562280.9925,4,5,5,14,Champions
39,272,2,67668.726,3,2,2,7,Needs Attention
40,409,1,67793.78,3,1,2,6,Needs Attention
41,210,6,218807.714,4,5,4,13,Champions
42,804,2,134310.2475,1,2,3,6,Lost Customers
43,285,5,337719.2385,3,4,5,12,Loyal Customers
44,149,1,29834.0565,4,1,1,6,New Customers
45,834,1,77793.49,1,1,2,4,Lost Customers
46,265,1,148854.3,3,1,3,7,Needs Attention
47,249,3,254590.73,3,3,4,10,Potential Loyalists
49,67,2,139436.55,5,2,3,10,New Customers
50,744,2,136995.97,2,2,3,7,Lost Customers
51,807,2,45537.98,1,2,1,4,Lost Customers
53,33,4,121242.30099999999,5,4,3,12,Loyal Customers
54,353,8,416285.3985,3,5,5,13,Loyal Customers
55,749,2,94793.295,2,2,2,6,Lost Customers
57,55,1,71672.64,5,1,2,8,New Customers
58,707,2,87742.36600000001,2,2,2,6,Lost Customers
59,72,1,40865.1,5,1,1,7,New Customers
60,951,1,36152.415,1,1,1,3,Lost Customers
62,289,3,246264.9695,3,3,4,10,Potential Loyalists
63,144,5,314856.90750000003,4,4,4,12,Champions
64,284,2,119743.8315,3,2,3,8,Needs Attention
65,1238,1,47022.479999999996,1,1,1,3,Lost Customers
66,342,3,211837.932,3,3,4,10,Potential Loyalists
67,1228,1,127144.81000000001,1,1,3,5,Lost Customers
68,35,5,175136.7335,5,4,3,12,Loyal Customers
69,54,1,43057.74,5,1,1,7,New Customers
70,877,2,67385.891,1,2,2,5,Lost Customers
71,412,7,351980.1855,3,5,5,13,Loyal Customers
73,1259,1,100195.5,1,1,2,4,Lost Customers
75,412,4,311227.619,3,4,4,11,Loyal Customers
77,1280,1,108676.2485,1,1,3,5,Lost Customers
79,231,3,48913.4225,3,3,1,7,Potential Loyalists
80,866,2,174056.379,1,2,3,6,Lost Customers
81,738,2,39749.1005,2,2,1,5,Lost Customers
82,486,3,206278.986,2,3,4,9,At Risk
83,684,2,171477.50799999997,2,2,3,7,Lost Customers
84,97,5,202854.5725,4,4,4,12,Champions
85,493,1,44571.653999999995,2,1,1,4,Lost Customers
